Dataset,Decision Tree_R2,Decision Tree_MAE,Random Forest_R2,Random Forest_MAE,Gradient Boosting_R2,Gradient Boosting_MAE
census,0.46277537695426596,0.12827716875488737,0.38139689738436744,0.1172057840743751,0.34932254445642996,0.12194742122130757
ufrgs,-0.014973331982131022,0.32196196408050926,0.3007908200075464,0.26301159801864293,0.3667348789039252,0.26244844598066175
compas,0.18170992703205868,0.15615579784089764,0.43055327209229,0.1398614575321049,0.5912750561336131,0.11838853883527202
diabetes,0.34615768887129295,0.21147262745250942,0.3241132029860254,0.22204994852531076,0.23884268336145242,0.2425754689552536
bank,-10.069502493050583,0.27549950320501904,-9.508305523332025,0.2663333442371556,-13.101877228636331,0.3060738429214044
heart,-1.9436083988938293,0.1947164063654951,-1.4742525182855997,0.17454867190513237,-1.5187531903848668,0.1793724813130025
