Dataset,Decision Tree_R2,Decision Tree_MAE,Random Forest_R2,Random Forest_MAE,Gradient Boosting_R2,Gradient Boosting_MAE
census,-0.9144693370762826,0.06735987646801511,-0.43426740059013924,0.05523869651270543,-0.4710332273878055,0.0563642016378312
ufrgs,-4.220739397253843,0.12774654526461046,-4.9315730905790325,0.1492438035169479,-5.9532113486089795,0.15322746825241138
compas,-3.5543044119730336,0.13543106678448966,-2.7404347215849367,0.12484438202311303,-3.168090286394958,0.13367905522508788
diabetes,-40.05384824953043,0.10856906413043739,-46.862186333957624,0.1270805506481157,-67.30235966900732,0.1824361967174827
bank,-2.4293454888345076,0.048873399289820804,-3.2135586630558874,0.05828427476714974,-4.738106634381926,0.06912083690309416
heart,-0.042173676145637495,0.2619143148790235,-0.058978351717526634,0.2612479434484104,-0.03097282688448777,0.2581839634961467
