Dataset,Decision Tree_R2,Decision Tree_MAE,Random Forest_R2,Random Forest_MAE,Gradient Boosting_R2,Gradient Boosting_MAE
census,0.23091759161325676,0.027466423872628067,0.2175685144615711,0.026792622011314677,0.22254234881394397,0.028565270064180952
ufrgs,-0.10036633721920207,0.04184137717602721,-0.15581382333751526,0.04438799726087096,-0.12118725900484506,0.04351864452580413
compas,0.5107756547078675,0.011529773448763983,0.39627773240981934,0.013946964178411488,0.4255273543913004,0.016034895702674315
diabetes,-0.4263328566455542,0.030583106592191607,-0.5946075247177764,0.032063149309454704,-0.9286660930404824,0.03468846401797817
bank,0.0698569348493906,0.01894305553260303,0.07920895381015247,0.01950360284313666,0.0159629265808362,0.019800725354591504
heart,-0.44673327853500977,0.027101385040112343,-0.5097092032601043,0.02664100884633892,-0.8445303478576498,0.02662887023298502
